tipoCurva;fecha;valor
CS1A;2014-05-28 00:00:00;6.476554340
CS1A;2014-06-04 00:00:00;6.476554340
CS1A;2014-06-11 00:00:00;6.687964120
CS1A;2014-06-18 00:00:00;6.481260950
CS1A;2014-06-25 00:00:00;6.564748820
CS1A;2014-07-02 00:00:00;6.703150420
CS1A;2014-07-09 00:00:00;6.416619740
CS1A;2014-07-16 00:00:00;6.550560570
CS1A;2014-07-23 00:00:00;6.367272480
CS1A;2014-07-30 00:00:00;6.456983340
CS1A;2014-08-06 00:00:00;6.414932740
CS1A;2014-08-13 00:00:00;6.436393040
CS1A;2014-08-20 00:00:00;6.445856200
CS1A;2014-08-27 00:00:00;6.280459270
CS1A;2014-09-03 00:00:00;6.474579160
CS1A;2014-09-10 00:00:00;6.378181780
CS1A;2014-09-17 00:00:00;6.458281470
CS1A;2014-09-24 00:00:00;6.358282000
CS1A;2014-10-01 00:00:00;6.440834240
CS1A;2014-10-08 00:00:00;6.466213600
CS1A;2014-10-15 00:00:00;6.654632400
CS1A;2014-10-22 00:00:00;6.461437520
CS1A;2014-10-29 00:00:00;6.720979410
CS1A;2014-11-05 00:00:00;6.506965050
CS1A;2014-11-12 00:00:00;6.432764100
CS1A;2014-11-19 00:00:00;6.541615810
CS1A;2014-11-26 00:00:00;6.563673850
CS1A;2014-12-03 00:00:00;6.771726210
CS1A;2014-12-10 00:00:00;6.750088270
CS1A;2014-12-17 00:00:00;6.717235330
CS1A;2014-12-24 00:00:00;6.584489900
CS1A;2014-12-31 00:00:00;6.512633220
CS1A;2015-01-07 00:00:00;6.512633220
CS1A;2015-01-14 00:00:00;6.677243320
CS1A;2015-01-21 00:00:00;6.693382200
CS1A;2015-01-28 00:00:00;6.624237920
CS1A;2015-02-04 00:00:00;6.450445090
CS1A;2015-02-11 00:00:00;6.263964160
CS1A;2015-02-18 00:00:00;6.250991300
CS1A;2015-02-25 00:00:00;6.247001810
CS1A;2015-03-04 00:00:00;6.284311710
CS1A;2015-03-11 00:00:00;6.252625730
CS1A;2015-03-18 00:00:00;6.414843980
CS1A;2015-03-25 00:00:00;6.161697820
CS1A;2015-04-01 00:00:00;6.566485190
CS1A;2015-04-08 00:00:00;6.666642460
CS1A;2015-04-15 00:00:00;6.101729470
CS1A;2015-04-22 00:00:00;6.311953290
CS1A;2015-04-29 00:00:00;6.154013780
CS1A;2015-05-06 00:00:00;6.234809490
CS1A;2015-05-13 00:00:00;5.894488800
CS1A;2015-05-20 00:00:00;6.113354400
CS1A;2015-05-27 00:00:00;6.084035270
CS1A;2015-06-03 00:00:00;6.120559620
CS1A;2015-06-10 00:00:00;5.984090510
CS1A;2015-06-17 00:00:00;5.873689260
CS1A;2015-06-24 00:00:00;5.862080610
CS1A;2015-07-01 00:00:00;5.977831210
CS1A;2015-07-08 00:00:00;5.759937030
CS1A;2015-07-15 00:00:00;5.426864100
CS1A;2015-07-22 00:00:00;5.352263920
CS1A;2015-07-29 00:00:00;5.185381090
CS1A;2015-08-05 00:00:00;5.135925770
CS1A;2015-08-12 00:00:00;5.066148710
CS1A;2015-08-19 00:00:00;5.162937490
CS1A;2015-08-26 00:00:00;4.864929460
CS1A;2015-09-02 00:00:00;5.257579260
CS1A;2015-09-09 00:00:00;5.196281400
CS1A;2015-09-16 00:00:00;5.543712780
CS1A;2015-09-23 00:00:00;5.609645080
CS1A;2015-09-30 00:00:00;5.500859990
CS1A;2015-10-07 00:00:00;5.063297000
CS1A;2015-10-14 00:00:00;4.989631600
CS1A;2015-10-21 00:00:00;4.565897000
CS1A;2015-10-28 00:00:00;4.374314150
CS1A;2015-11-04 00:00:00;4.418613250
CS1A;2015-11-11 00:00:00;4.158627400
CS1A;2015-11-18 00:00:00;4.472483070
CS1A;2015-11-25 00:00:00;4.644320600
CS1A;2015-12-02 00:00:00;4.504127180
CS1A;2015-12-09 00:00:00;4.290941010
CS1A;2015-12-16 00:00:00;4.265007020
CS1A;2015-12-23 00:00:00;4.434723290
CS1A;2015-12-30 00:00:00;4.434723290
CS1A;2016-01-06 00:00:00;4.434643060
CS1A;2016-01-13 00:00:00;3.849810320
CS1A;2016-01-20 00:00:00;3.972271690
CS1A;2016-01-27 00:00:00;4.466357860
CS1A;2016-02-03 00:00:00;3.750175830
CS1A;2016-02-10 00:00:00;3.965939700
CS1A;2016-02-17 00:00:00;3.808241140
CS1A;2016-02-24 00:00:00;3.734978140
CS1A;2016-03-02 00:00:00;3.568053120
CS1A;2016-03-09 00:00:00;3.785243760
CS1A;2016-03-16 00:00:00;3.684108300
CS1A;2016-03-23 00:00:00;4.027518930
CS1A;2016-03-30 00:00:00;4.122980190
CS1A;2016-04-06 00:00:00;3.917967290
CS1A;2016-04-13 00:00:00;4.077013610
CS1A;2016-04-20 00:00:00;3.771018460
CS1A;2016-04-27 00:00:00;4.230180170
CS1A;2016-05-04 00:00:00;3.618927290
CS1A;2016-05-11 00:00:00;3.939957850
CS1A;2016-05-18 00:00:00;4.282102350
CS1A;2016-05-25 00:00:00;4.509045690
CS1A;2016-06-01 00:00:00;4.124704720
CS1A;2016-06-08 00:00:00;4.300853730
CS1A;2016-06-15 00:00:00;3.948010000
CS1A;2016-06-22 00:00:00;4.359917540
CS1A;2016-06-29 00:00:00;4.372103590
CS1A;2016-07-06 00:00:00;3.955112640
CS1A;2016-07-13 00:00:00;4.225226350
CS1A;2016-07-20 00:00:00;4.030261640
CS1A;2016-07-27 00:00:00;4.192262060
CS1A;2016-08-03 00:00:00;3.833866410
CS1A;2016-08-10 00:00:00;4.120497250
CS1A;2016-08-17 00:00:00;4.262221950
CS1A;2016-08-24 00:00:00;4.273333700
CS1A;2016-08-31 00:00:00;4.612589500
CS1A;2016-09-07 00:00:00;4.158871400
CS1A;2016-09-14 00:00:00;4.254154800
CS1A;2016-09-21 00:00:00;4.262884860
CS1A;2016-09-28 00:00:00;4.120840360
CS1A;2016-10-05 00:00:00;4.451280600
CS1A;2016-10-12 00:00:00;4.254020520
CS1A;2016-10-19 00:00:00;4.404689260
CS1A;2016-10-26 00:00:00;4.453071890
CS1A;2016-11-02 00:00:00;4.538135020
CS1A;2016-11-09 00:00:00;4.275036050
CS1A;2016-11-16 00:00:00;4.355934060
CS1A;2016-11-23 00:00:00;4.523651580
CS1A;2016-11-30 00:00:00;4.639613190
CS1A;2016-12-07 00:00:00;4.610225000
CS1A;2016-12-14 00:00:00;4.698340480
CS1A;2016-12-21 00:00:00;4.622550060
CS1A;2016-12-28 00:00:00;4.622550060
CS1A;2017-01-04 00:00:00;4.622550060
CS1A;2017-01-11 00:00:00;4.587715900
CS1A;2017-01-18 00:00:00;4.510262120
CS1A;2017-01-25 00:00:00;4.538360980
CS1A;2017-02-01 00:00:00;4.628579770
CS1A;2017-02-08 00:00:00;4.368063110
CS1A;2017-02-15 00:00:00;4.521652140
CS1A;2017-02-22 00:00:00;4.405339410
CS1A;2017-03-01 00:00:00;4.642165860
CS1A;2017-03-08 00:00:00;4.269725400
CS1A;2017-03-15 00:00:00;4.401175210
CS1A;2017-03-22 00:00:00;4.921695060
CS1A;2017-03-29 00:00:00;4.866436970
CS1A;2017-04-05 00:00:00;4.795947320
CS1A;2017-04-12 00:00:00;4.979229360
CS1A;2017-04-19 00:00:00;4.979229360
CS1A;2017-04-26 00:00:00;4.802420780
CS1A;2017-05-03 00:00:00;4.903664080
CS1A;2017-05-10 00:00:00;5.210238690
CS1A;2017-05-17 00:00:00;5.093608600
CS1A;2017-05-24 00:00:00;5.457654620
CS1A;2017-05-31 00:00:00;5.213578520
CS1A;2017-06-07 00:00:00;6.250258680
CS1A;2017-06-14 00:00:00;5.994555000
CS1A;2017-06-21 00:00:00;6.570034800
CS1A;2017-06-28 00:00:00;6.827321800
CS1A;2017-07-05 00:00:00;6.949936190
CS1A;2017-07-12 00:00:00;6.493210330
CS1A;2017-07-19 00:00:00;6.530013830
CS1A;2017-07-26 00:00:00;6.421219990
CS1A;2017-08-02 00:00:00;6.999541450
CS1A;2017-08-09 00:00:00;7.327733630
CS1A;2017-08-16 00:00:00;7.006693300
CS1A;2017-08-23 00:00:00;6.628091000
CS1A;2017-08-30 00:00:00;6.780829900
CS1A;2017-09-06 00:00:00;6.543759030
CS1A;2017-09-13 00:00:00;7.240782180
CS1A;2017-09-20 00:00:00;6.999158660
CS1A;2017-09-27 00:00:00;7.124341420
CS1A;2017-10-04 00:00:00;6.397738120
CS1A;2017-10-11 00:00:00;7.143038850
CS1A;2017-10-18 00:00:00;7.229866030
CS1A;2017-10-25 00:00:00;7.741786070
CS1A;2017-11-01 00:00:00;6.691697140
CS1A;2017-11-08 00:00:00;6.971045170
CS1A;2017-11-15 00:00:00;7.377978230
CS1A;2017-11-22 00:00:00;7.046949680
CS1A;2017-11-29 00:00:00;7.252264550
CS1A;2017-12-06 00:00:00;7.333316110
CS1A;2017-12-13 00:00:00;7.297572370
CS1A;2017-12-20 00:00:00;7.733556900
CS1A;2017-12-27 00:00:00;7.684577700
CS1A;2018-01-03 00:00:00;7.655618900
CS1A;2018-01-10 00:00:00;6.951104050
CS1A;2018-01-17 00:00:00;7.789216620
CS1A;2018-01-24 00:00:00;7.652319600
CS1A;2018-01-31 00:00:00;7.914235570
CS1A;2018-02-07 00:00:00;7.971622830
CS1A;2018-02-14 00:00:00;7.877131880
CS1A;2018-02-21 00:00:00;8.056000000
CS1A;2018-02-28 00:00:00;7.943000000
CS1A;2018-03-07 00:00:00;7.887000000
CS1A;2018-03-14 00:00:00;7.861000000
CS1A;2018-03-21 00:00:00;7.877000000
CS1A;2018-03-28 00:00:00;7.803000000
CS1A;2018-04-04 00:00:00;7.803000000
CS1A;2018-04-11 00:00:00;7.647000000
CS1A;2018-04-18 00:00:00;7.623000000
CS1A;2018-04-25 00:00:00;7.722000000
CS1A;2018-05-02 00:00:00;7.799000000
CS1A;2018-05-09 00:00:00;7.573000000
CS1A;2018-05-16 00:00:00;8.132000000
CS1A;2018-05-23 00:00:00;7.791000000
CS1A;2018-05-30 00:00:00;7.549000000
CS1A;2018-06-06 00:00:00;7.546000000
CS1A;2018-06-13 00:00:00;8.094000000
CS1A;2018-06-20 00:00:00;7.680000000
CS1A;2018-06-27 00:00:00;7.538000000
CS1A;2018-07-04 00:00:00;7.714000000
CS1A;2018-07-11 00:00:00;7.829000000
CS1A;2018-07-18 00:00:00;7.621000000
CS1A;2018-07-25 00:00:00;7.777000000
CS1A;2018-08-01 00:00:00;7.731000000
CS1A;2018-08-08 00:00:00;7.740000000
CS1A;2018-08-15 00:00:00;7.727000000
CS1A;2018-08-22 00:00:00;7.656000000
CS1A;2018-08-29 00:00:00;7.808000000
CS1A;2018-09-05 00:00:00;7.629000000
CS1A;2018-09-12 00:00:00;7.356000000
CS1A;2018-09-19 00:00:00;7.419000000
CS1A;2018-09-26 00:00:00;7.763000000
CS1A;2018-10-03 00:00:00;7.558000000
CS1A;2018-10-10 00:00:00;7.376000000
CS1A;2018-10-17 00:00:00;8.115000000
CS1A;2018-10-24 00:00:00;7.518000000
CS1A;2018-10-31 00:00:00;6.230000000
CS1A;2018-11-07 00:00:00;7.780000000
CS1A;2018-11-14 00:00:00;8.121000000
CS1A;2018-11-21 00:00:00;8.504000000
CS1A;2018-11-28 00:00:00;8.673000000
CS1A;2018-12-05 00:00:00;8.337000000
CS1A;2018-12-12 00:00:00;8.021000000
CS1A;2018-12-19 00:00:00;8.363000000
CS1A;2018-12-26 00:00:00;8.363000000
CS1A;2019-01-02 00:00:00;8.363000000
CS1A;2019-01-09 00:00:00;8.529000000
CS1A;2019-01-16 00:00:00;8.582000000
CS1A;2019-01-23 00:00:00;8.996000000
CS1A;2019-01-30 00:00:00;8.638000000
CS1A;2019-02-06 00:00:00;8.943000000
CS1A;2019-02-13 00:00:00;8.712000000
CS1A;2019-02-20 00:00:00;8.218000000
CS1A;2019-02-27 00:00:00;8.324000000
CS1A;2019-03-06 00:00:00;8.210000000
CS1A;2019-03-13 00:00:00;8.037000000
CS1A;2019-03-20 00:00:00;8.635000000
CS1A;2019-03-27 00:00:00;8.695000000
CS1A;2019-04-03 00:00:00;7.426000000
CS1A;2019-04-10 00:00:00;7.436000000
CS1A;2019-04-17 00:00:00;8.195000000
CS1A;2019-04-24 00:00:00;8.195000000
CS1A;2019-05-01 00:00:00;7.841000000
CS1A;2019-05-08 00:00:00;7.435000000
CS1A;2019-05-15 00:00:00;7.559000000
CS1A;2019-05-22 00:00:00;7.452000000
CS1A;2019-05-29 00:00:00;7.722000000
CS1A;2019-06-05 00:00:00;7.311000000
